"","area","rooms","suites","bathrooms","parkings","price","neighborhood"
"15669",115,"2","--","1","1",748000,"JP"
"15670",178,"3","2","4","1",2155000,"JP"
"15671",73,"2","1","2","1",950000,"JP"
"15672",40,"1","--","1","--",530000,"JP"
"15673",76,"2","1","2","1",1080000,"JP"
"15674",165,"3","1","4","1",1660000,"JP"
"15675",62,"1","--","1","1",750000,"JP"
"15676",355,"4","4","5","4",5500000,"JP"
"15677",382,"4","2","4","2",3300000,"JP"
"15678",178,"3","1","3","2",2155000,"JP"
"15679",296,"4","2","5","3",3700000,"JP"
"15680",228,"3","2","4","2",3160000,"JP"
"15681",83,"3","1","3","1",1040000,"JP"
"15682",349,"3","3","5","5",12800000,"JP"
"15683",151,"3","--","3","1",1550000,"JP"
"15684",290,"3","3","5","3",3200000,"JP"
"15685",78,"2","2","3","2",2100000,"JP"
"15686",158,"3","--","3","1",1600000,"JP"
"15687",228,"3","1","3","2",2200000,"JP"
"15688",160,"3","1","3","2",1820000,"JP"
"15689",111,"2","1","3","1",1400000,"JP"
"15690",260,"4","2","4","2",3200000,"JP"
"15691",345,"4","4","6","4",5700000,"JP"
"15692",74,"2","--","2","1",750000,"JP"
"15693",169,"3","2","5","3",2550000,"JP"
"15694",84,"2","--","2","1",885000,"JP"
"15695",134,"2","1","1","1",1400000,"JP"
"15696",290,"3","3","5","3",3800000,"JP"
"15697",57,"2","1","2","1",852000,"JP"
"15698",120,"2","1","3","1",1350000,"JP"
"15699",273,"3","3","3","2",3e+06,"JP"
"15700",222,"3","3","3","2",3290000,"JP"
"15701",130,"3","--","2","1",1150000,"JP"
"15702",110,"3","1","3","1",1484000,"JP"
"15703",413,"4","4","7","5",7500000,"JP"
"15704",217,"3","3","5","3",4889000,"JP"
"15705",190,"4","2","4","3",1950000,"JP"
"15706",587,"4","4","7","8",15700000,"JP"
"15707",230,"3","1","2","3",1840000,"JP"
"15708",210,"3","3","1","2",2980000,"JP"
"15709",178,"2","2","3","2",2650000,"JP"
"15710",114,"2","--","2","1",750000,"JP"
"15711",160,"3","3","5","2",1950000,"JP"
"15712",168,"2","1","3","1",1380000,"JP"
"15713",94,"2","2","3","2",1490000,"JP"
"15714",135,"3","1","2","1",1680000,"JP"
"15715",70,"2","--","2","1",640000,"JP"
"15716",114,"2","--","2","1",750000,"JP"
"15717",170,"3","2","3","2",1600000,"JP"
"15718",178,"3","2","4","1",2155000,"JP"
"15719",102,"3","1","3","1",1188000,"JP"
"15720",55,"2","1","1","1",910000,"JP"
"15721",365,"4","2","5","3",4180000,"JP"
"15722",100,"3","--","2","--",645000,"JP"
"15723",575,"4","4","5","8",8900000,"JP"
"15724",402,"4","3","4","3",5200000,"JP"
"15725",109,"3","--","3","2",1350000,"JP"
"15726",75,"2","--","2","1",795000,"JP"
"15727",182,"3","3","4","3",2650000,"JP"
"15728",90,"2","2","3","2",990000,"JP"
"15729",54,"1","1","1","1",650000,"JP"
"15730",468,"4","4","6","4",6500000,"JP"
"15731",129,"3","1","3","1",990000,"JP"
"15732",100,"2","--","3","1",1180000,"JP"
"15733",165,"3","3","2","2",2490000,"JP"
"15734",96,"2","1","2","1",1220000,"JP"
"15735",27,"1","--","1","1",590000,"JP"
"15736",351,"4","4","7","5",7600000,"JP"
"15737",112,"1","1","2","3",2200000,"JP"
"15738",250,"3","1","3","4",2800000,"JP"
"15739",134,"3","1","4","2",1550000,"JP"
"15740",98,"2","--","2","1",985000,"JP"
"15741",345,"4","4","6","4",5700000,"JP"
"15742",300,"4","1","3","3",3090000,"JP"
"15743",132,"3","1","2","1",1590000,"JP"
"15744",190,"4","1","4","1",1990000,"JP"
"15745",335,"4","4","6","4",4800000,"JP"
"15746",374,"4","2","4","4",6200000,"JP"
"15747",161,"3","1","4","1",1890000,"JP"
"15748",279,"3","3","3","3",2950000,"JP"
"15749",98,"2","--","2","1",950000,"JP"
"15750",210,"3","3","5","4",4500000,"JP"
"15751",142,"3","1","4","1",1350000,"JP"
"15752",180,"4","1","4","2",2390000,"JP"
"15753",128,"3","1","3","1",1250000,"JP"
"15754",165,"3","2","5","2",1900000,"JP"
"15755",193,"4","2","5","2",2550000,"JP"
"15756",76,"2","--","1","1",765000,"JP"
